date,total_visits,COVID-like,COVID-like_mean,COVID-like_std,COVID-like_threshold,COVID-like_anomaly,Dengue-like,Dengue-like_mean,Dengue-like_std,Dengue-like_threshold,Dengue-like_anomaly,Flu-like,Flu-like_mean,Flu-like_std,Flu-like_threshold,Flu-like_anomaly
2025-05-24,1,0.0,,,,False,0.0,,,,False,0.0,,,,False
2025-05-25,3,0.0,,,,False,0.0,,,,False,0.0,,,,False
2025-05-28,1,0.0,,,,False,0.0,,,,False,0.0,,,,False
2025-05-29,2,0.0,,,,False,0.0,,,,False,0.0,,,,False
2025-05-30,2,0.0,,,,False,0.0,,,,False,0.0,,,,False
2025-05-31,1,0.0,,,,False,0.0,,,,False,0.0,,,,False
2025-06-01,1,0.0,,,,False,0.0,,,,False,0.0,,,,False
2025-06-02,2,0.0,,,,False,0.0,,,,False,0.0,,,,False
2025-06-04,1,0.0,,,,False,0.0,,,,False,0.0,,,,False
2025-06-05,2,0.0,,,,False,0.0,,,,False,0.0,,,,False
2025-06-07,1,0.0,,,,False,0.0,,,,False,0.0,,,,False
2025-06-08,2,0.0,,,,False,0.0,,,,False,0.0,,,,False
2025-06-09,1,0.0,,,,False,0.0,,,,False,0.0,,,,False
2025-06-10,2,0.0,,,,False,0.0,,,,False,0.0,,,,False
2025-06-11,2,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False
2025-06-12,2,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False
2025-06-13,4,1.0,0.07142857142857142,0.2672612419124244,0.8732122971658446,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False
2025-06-14,1,0.0,0.14285714285714285,0.36313651960128146,1.2322667016609872,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False
2025-06-15,1,0.0,0.14285714285714285,0.36313651960128146,1.2322667016609872,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False
2025-06-16,3,0.0,0.14285714285714285,0.36313651960128146,1.2322667016609872,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False
2025-06-17,2,0.0,0.14285714285714285,0.36313651960128146,1.2322667016609872,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False
2025-06-18,2,1.0,0.14285714285714285,0.36313651960128146,1.2322667016609872,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False
2025-06-19,2,0.0,0.21428571428571427,0.4258153136263201,1.4917316551646744,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False
2025-06-20,4,1.0,0.21428571428571427,0.4258153136263201,1.4917316551646744,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False
